#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
0.1%	50	0.10000000000000007	-1433.7360466957118	249.46633911132812	-1184.2697075843837	77.52946798141282	0	0.0002186298370361328	--
0.2%	100	0.20000000000000015	-1355.2831658363368	286.3984069824219	-1068.884758853915	89.00726327716022	128	0.06735610961914062	1:07
0.3%	150	0.3000000000000002	-1337.9440545082118	322.9538879394531	-1014.9901665687587	100.36802241003275	130	0.13334274291992188	1:06
0.4%	200	0.4000000000000003	-1316.8044060707118	365.0547180175781	-951.7496880531337	113.45217223625946	130	0.19916081428527832	1:06
0.5%	250	0.5000000000000003	-1288.1635369300868	306.8431396484375	-981.3203972816493	95.36110344760118	130	0.26491570472717285	1:05
0.6%	300	0.6000000000000004	-1273.9964226722743	319.65850830078125	-954.3379143714931	99.34388011054203	131	0.3307170867919922	1:05
0.7%	350	0.7000000000000005	-1275.7834099769618	355.8824157714844	-919.9009942054774	110.60159241119129	131	0.3964970111846924	1:05
0.8%	400	0.8000000000000006	-1251.2350701332118	297.806884765625	-953.4281853675868	92.55280459612264	131	0.46225857734680176	1:05
0.9%	450	0.9000000000000007	-1231.6455925941493	322.3903503417969	-909.2552422523524	100.19288547456703	131	0.5277621746063232	1:05
1.0%	500	1.0000000000000007	-1225.2101677894618	312.0010681152344	-913.2090996742274	96.96409105443212	131	0.593604326248169	1:05
1.1%	550	1.1000000000000008	-1197.8088006019618	332.06414794921875	-865.7446526527431	103.19932066953167	131	0.6595680713653564	1:05
1.2%	600	1.2000000000000008	-1176.5494011878993	317.3689880371094	-859.18041315079	98.63234007428915	131	0.7264888286590576	1:05
1.3%	650	1.300000000000001	-1145.6687859535243	316.9249572753906	-828.7438286781337	98.49434362616687	131	0.7929408550262451	1:05
1.4%	700	1.400000000000001	-1138.3738640785243	333.4534912109375	-804.9203728675868	103.63110254562899	131	0.8586626052856445	1:05
1.5%	750	1.500000000000001	-1128.5412224769618	300.18902587890625	-828.3521965980556	93.29312945849587	131	0.9242377281188965	1:05
1.6%	800	1.6000000000000012	-1119.4193963050868	333.0430908203125	-786.3763054847743	103.50355778725451	131	0.989879846572876	1:04
